initial_alias,converted_alias,name,description,namespace,uniqueccds,unique_names
CCDS44659.1,ENSG00000110697,PITPNM1,phosphatidylinositol transfer protein membrane associated 1 [Source:HGNC Symbol;Acc:HGNC:9003],CCDS,CCDS44659.1,B3GNT7
CCDS55567.1,ENSG00000078900,TP73,tumor protein p73 [Source:HGNC Symbol;Acc:HGNC:12003],CCDS,CCDS55567.1,TMEM151A
CCDS4457.1,ENSG00000037280,FLT4,fms related receptor tyrosine kinase 4 [Source:HGNC Symbol;Acc:HGNC:3767],CCDS,CCDS4457.1,SLC29A2
CCDS45901.1,ENSG00000130270,ATP8B3,ATPase phospholipid transporting 8B3 [Source:HGNC Symbol;Acc:HGNC:13535],CCDS,CCDS45901.1,ITGA11
CCDS30617.1,ENSG00000074964,ARHGEF10L,Rho guanine nucleotide exchange factor 10 like [Source:HGNC Symbol;Acc:HGNC:25540],CCDS,CCDS30617.1,FZD7
CCDS8536.1,ENSG00000130037,KCNA5,potassium voltage-gated channel subfamily A member 5 [Source:HGNC Symbol;Acc:HGNC:6224],CCDS,CCDS8536.1,BRSK1
CCDS45173.1,ENSG00000203485,INF2,inverted formin 2 [Source:HGNC Symbol;Acc:HGNC:23791],CCDS,CCDS45173.1,ADCY1
CCDS32093.1,ENSG00000182107,TMEM30B,transmembrane protein 30B [Source:HGNC Symbol;Acc:HGNC:27254],CCDS,CCDS32093.1,RHBDF1
CCDS44670.1,ENSG00000186642,PDE2A,phosphodiesterase 2A [Source:HGNC Symbol;Acc:HGNC:8777],CCDS,CCDS44670.1,TRIL
CCDS58848.1,ENSG00000082684,SEMA5B,semaphorin 5B [Source:HGNC Symbol;Acc:HGNC:10737],CCDS,CCDS58848.1,DOT1L
CCDS13007.1,ENSG00000101276,SLC52A3,solute carrier family 52 member 3 [Source:HGNC Symbol;Acc:HGNC:16187],CCDS,CCDS13007.1,SH2B2
CCDS46136.1,None,None,None,,CCDS46136.1,SLC4A2
CCDS7586.1,ENSG00000043591,ADRB1,adrenoceptor beta 1 [Source:HGNC Symbol;Acc:HGNC:285],CCDS,CCDS7586.1,RASD1
CCDS54060.1,ENSG00000159842,ABR,ABR activator of RhoGEF and GTPase [Source:HGNC Symbol;Acc:HGNC:81],CCDS,CCDS54060.1,TSSK2
CCDS63134.1,ENSG00000124006,OBSL1,obscurin like cytoskeletal adaptor 1 [Source:HGNC Symbol;Acc:HGNC:29092],CCDS,CCDS63134.1,SCNN1B
CCDS32489.1,ENSG00000168928,CTRB2,chymotrypsinogen B2 [Source:HGNC Symbol;Acc:HGNC:2522],CCDS,CCDS32489.1,LORICRIN
CCDS43544.1,ENSG00000157927,RADIL,Rap associating with DIL domain [Source:HGNC Symbol;Acc:HGNC:22226],CCDS,CCDS43544.1,S1PR4
CCDS45791.1,ENSG00000184640,SEPTIN9,septin 9 [Source:HGNC Symbol;Acc:HGNC:7323],CCDS,CCDS45791.1,SLC43A2
CCDS13325.1,ENSG00000149596,JPH2,junctophilin 2 [Source:HGNC Symbol;Acc:HGNC:14202],CCDS,CCDS13325.1,AATK
CCDS34507.1,ENSG00000178409,BEND3,BEN domain containing 3 [Source:HGNC Symbol;Acc:HGNC:23040],CCDS,CCDS34507.1,LINGO3
CCDS14726.1,ENSG00000130821,SLC6A8,solute carrier family 6 member 8 [Source:HGNC Symbol;Acc:HGNC:11055],CCDS,CCDS14726.1,PGA5
CCDS12326.1,ENSG00000074181,NOTCH3,notch receptor 3 [Source:HGNC Symbol;Acc:HGNC:7883],CCDS,CCDS12326.1,NOL4L
CCDS13740.1,ENSG00000183307,TMEM121B,transmembrane protein 121B [Source:HGNC Symbol;Acc:HGNC:1844],CCDS,CCDS13740.1,MINK1
CCDS32962.1,ENSG00000006016,CRLF1,cytokine receptor like factor 1 [Source:HGNC Symbol;Acc:HGNC:2364],CCDS,CCDS32962.1,PLCD3
CCDS85966.1,ENSG00000196517,SLC6A9,solute carrier family 6 member 9 [Source:HGNC Symbol;Acc:HGNC:11056],CCDS,CCDS85966.1,KDM2B
CCDS47648.1,ENSG00000205356,TECPR1,tectonin beta-propeller repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:22214],CCDS,CCDS47648.1,JAK3
CCDS55585.1,ENSG00000168528,SERINC2,serine incorporator 2 [Source:HGNC Symbol;Acc:HGNC:23231],CCDS,CCDS55585.1,SLC6A7
CCDS58083.1,ENSG00000107731,UNC5B,unc-5 netrin receptor B [Source:HGNC Symbol;Acc:HGNC:12568],CCDS,CCDS58083.1,APCDD1
CCDS31620.1,ENSG00000110697,PITPNM1,phosphatidylinositol transfer protein membrane associated 1 [Source:HGNC Symbol;Acc:HGNC:9003],CCDS,CCDS31620.1,SEZ6L
CCDS44049.1,ENSG00000078900,TP73,tumor protein p73 [Source:HGNC Symbol;Acc:HGNC:12003],CCDS,CCDS44049.1,GABRD
CCDS13806.1,ENSG00000186716,BCR,BCR activator of RhoGEF and GTPase [Source:HGNC Symbol;Acc:HGNC:1014],CCDS,CCDS13806.1,KCNV2
CCDS8188.1,ENSG00000172935,MRGPRF,MAS related GPR family member F [Source:HGNC Symbol;Acc:HGNC:24828],CCDS,CCDS8188.1,NPFFR1
CCDS32649.1,ENSG00000213416,KRTAP4-12,keratin associated protein 4-12 [Source:HGNC Symbol;Acc:HGNC:16776],CCDS,CCDS32649.1,ADORA1
CCDS81279.1,ENSG00000133216,EPHB2,EPH receptor B2 [Source:HGNC Symbol;Acc:HGNC:3393],CCDS,CCDS81279.1,GHSR
CCDS31682.1,ENSG00000149577,SIDT2,SID1 transmembrane family member 2 [Source:HGNC Symbol;Acc:HGNC:24272],CCDS,CCDS31682.1,ACTG1
CCDS13089.1,ENSG00000101292,PROKR2,prokineticin receptor 2 [Source:HGNC Symbol;Acc:HGNC:15836],CCDS,CCDS13089.1,NPY4R
CCDS41684.1,ENSG00000204572,KRTAP5-10,keratin associated protein 5-10 [Source:HGNC Symbol;Acc:HGNC:23605],CCDS,CCDS41684.1,NPY4R2
CCDS31340.1,ENSG00000070985,TRPM5,transient receptor potential cation channel subfamily M member 5 [Source:HGNC Symbol;Acc:HGNC:14323],CCDS,CCDS31340.1,KCNG1
CCDS12103.1,ENSG00000088256,GNA11,G protein subunit alpha 11 [Source:HGNC Symbol;Acc:HGNC:4379],CCDS,CCDS12103.1,CAPN5
CCDS32940.1,ENSG00000172519,OR10H5,olfactory receptor family 10 subfamily H member 5 [Source:HGNC Symbol;Acc:HGNC:15389],CCDS,CCDS32940.1,MAPK8IP3
CCDS413.1,ENSG00000119535,CSF3R,colony stimulating factor 3 receptor [Source:HGNC Symbol;Acc:HGNC:2439],CCDS,CCDS413.1,RBMXL3
CCDS12138.1,ENSG00000127663,KDM4B,lysine demethylase 4B [Source:HGNC Symbol;Acc:HGNC:29136],CCDS,CCDS12138.1,CHAD
CCDS45792.1,ENSG00000184640,SEPTIN9,septin 9 [Source:HGNC Symbol;Acc:HGNC:7323],CCDS,CCDS45792.1,TNFAIP1
CCDS3369.1,ENSG00000109758,HGFAC,HGF activator [Source:HGNC Symbol;Acc:HGNC:4894],CCDS,CCDS3369.1,LRFN2
CCDS42954.1,ENSG00000215455,KRTAP10-1,keratin associated protein 10-1 [Source:HGNC Symbol;Acc:HGNC:22966],CCDS,CCDS42954.1,SRM
CCDS30990.1,ENSG00000174502,SLC26A9,solute carrier family 26 member 9 [Source:HGNC Symbol;Acc:HGNC:14469],CCDS,CCDS30990.1,TMCC2
CCDS32748.1,ENSG00000141524,TMC6,transmembrane channel like 6 [Source:HGNC Symbol;Acc:HGNC:18021],CCDS,CCDS32748.1,SPPL2C
CCDS3310.1,ENSG00000145113,MUC4,"mucin 4, cell surface associated [Source:HGNC Symbol;Acc:HGNC:7514]",CCDS,CCDS3310.1,EPHB3
CCDS55569.1,ENSG00000078900,TP73,tumor protein p73 [Source:HGNC Symbol;Acc:HGNC:12003],CCDS,CCDS55569.1,ADRA1A
CCDS13941.1,None,None,None,,CCDS13941.1,ZNF366
CCDS75803.1,ENSG00000179832,MROH1,maestro heat like repeat family member 1 [Source:HGNC Symbol;Acc:HGNC:26958],CCDS,CCDS75803.1,IGSF9B
CCDS31930.1,ENSG00000187848,P2RX2,purinergic receptor P2X 2 [Source:HGNC Symbol;Acc:HGNC:15459],CCDS,CCDS31930.1,ADGRD1
CCDS42837.1,ENSG00000178586,OR6B3,olfactory receptor family 6 subfamily B member 3 [Source:HGNC Symbol;Acc:HGNC:15042],CCDS,CCDS42837.1,DRD5
CCDS74803.1,ENSG00000272804,KRTAP10-7,keratin associated protein 10-7 [Source:HGNC Symbol;Acc:HGNC:22970],CCDS,CCDS74803.1,TBC1D24
CCDS6919.1,ENSG00000095321,CRAT,carnitine O-acetyltransferase [Source:HGNC Symbol;Acc:HGNC:2342],CCDS,CCDS6919.1,TNXB
CCDS77122.1,ENSG00000184640,SEPTIN9,septin 9 [Source:HGNC Symbol;Acc:HGNC:7323],CCDS,CCDS77122.1,BGN
CCDS45790.1,ENSG00000184640,SEPTIN9,septin 9 [Source:HGNC Symbol;Acc:HGNC:7323],CCDS,CCDS45790.1,DNM1
CCDS10461.1,ENSG00000131653,TRAF7,TNF receptor associated factor 7 [Source:HGNC Symbol;Acc:HGNC:20456],CCDS,CCDS10461.1,PLEKHA6
CCDS13807.1,ENSG00000186716,BCR,BCR activator of RhoGEF and GTPase [Source:HGNC Symbol;Acc:HGNC:1014],CCDS,CCDS13807.1,CXCR5
CCDS75802.1,ENSG00000178814,OPLAH,"5-oxoprolinase, ATP-hydrolysing [Source:HGNC Symbol;Acc:HGNC:8149]",CCDS,CCDS75802.1,NFATC1
CCDS13916.1,ENSG00000100302,RASD2,RASD family member 2 [Source:HGNC Symbol;Acc:HGNC:18229],CCDS,CCDS13916.1,LRRC32
CCDS53910.1,ENSG00000254656,RTL1,retrotransposon Gag like 1 [Source:HGNC Symbol;Acc:HGNC:14665],CCDS,CCDS53910.1,TOR2A
CCDS7718.1,ENSG00000177666,PNPLA2,patatin like phospholipase domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30802],CCDS,CCDS7718.1,ST14
CCDS54226.1,ENSG00000132000,PODNL1,podocan like 1 [Source:HGNC Symbol;Acc:HGNC:26275],CCDS,CCDS54226.1,FAM171A2
CCDS74902.1,ENSG00000144711,IQSEC1,IQ motif and Sec7 domain ArfGEF 1 [Source:HGNC Symbol;Acc:HGNC:29112],CCDS,CCDS74902.1,ADAMTS10
CCDS12119.1,ENSG00000178951,ZBTB7A,zinc finger and BTB domain containing 7A [Source:HGNC Symbol;Acc:HGNC:18078],CCDS,CCDS12119.1,LRRC15
CCDS13471.1,ENSG00000087460,GNAS,GNAS complex locus [Source:HGNC Symbol;Acc:HGNC:4392],CCDS,CCDS13471.1,GPER1
CCDS46196.1,ENSG00000179954,SSC5D,scavenger receptor cysteine rich family member with 5 domains [Source:HGNC Symbol;Acc:HGNC:26641],CCDS,CCDS46196.1,GPR20
CCDS7957.1,ENSG00000186907,RTN4RL2,reticulon 4 receptor like 2 [Source:HGNC Symbol;Acc:HGNC:23053],CCDS,CCDS7957.1,TMEM158
CCDS13730.1,ENSG00000142173,COL6A2,collagen type VI alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2212],CCDS,CCDS13730.1,NTN1
CCDS5341.1,ENSG00000075624,ACTB,actin beta [Source:HGNC Symbol;Acc:HGNC:132],CCDS,CCDS5341.1,BOC
CCDS42467.1,ENSG00000006638,TBXA2R,thromboxane A2 receptor [Source:HGNC Symbol;Acc:HGNC:11608],CCDS,CCDS42467.1,PLPPR3
CCDS7309.1,ENSG00000107731,UNC5B,unc-5 netrin receptor B [Source:HGNC Symbol;Acc:HGNC:12568],CCDS,CCDS7309.1,ATG9B
CCDS42961.1,ENSG00000221837,KRTAP10-9,keratin associated protein 10-9 [Source:HGNC Symbol;Acc:HGNC:22971],CCDS,CCDS42961.1,MADCAM1
CCDS12254.1,ENSG00000130164,LDLR,low density lipoprotein receptor [Source:HGNC Symbol;Acc:HGNC:6547],CCDS,CCDS12254.1,RXRA
CCDS58651.1,ENSG00000130164,LDLR,low density lipoprotein receptor [Source:HGNC Symbol;Acc:HGNC:6547],CCDS,CCDS58651.1,KRT86
CCDS74856.1,ENSG00000187045,TMPRSS6,transmembrane serine protease 6 [Source:HGNC Symbol;Acc:HGNC:16517],CCDS,CCDS74856.1,MOGAT3
CCDS47613.1,ENSG00000006704,GTF2IRD1,GTF2I repeat domain containing 1 [Source:HGNC Symbol;Acc:HGNC:4661],CCDS,CCDS47613.1,MCM5
CCDS10420.1,ENSG00000127580,WDR24,WD repeat domain 24 [Source:HGNC Symbol;Acc:HGNC:20852],CCDS,CCDS10420.1,GRAMD1A
CCDS54124.1,ENSG00000212722,KRTAP4-9,keratin associated protein 4-9 [Source:HGNC Symbol;Acc:HGNC:18910],CCDS,CCDS54124.1,KLHL29
CCDS414.1,ENSG00000119535,CSF3R,colony stimulating factor 3 receptor [Source:HGNC Symbol;Acc:HGNC:2439],CCDS,CCDS414.1,MAN1C1
CCDS5571.1,ENSG00000006704,GTF2IRD1,GTF2I repeat domain containing 1 [Source:HGNC Symbol;Acc:HGNC:4661],CCDS,CCDS5571.1,KRTAP10-8
CCDS41282.1,ENSG00000162430,SELENON,selenoprotein N [Source:HGNC Symbol;Acc:HGNC:15999],CCDS,CCDS41282.1,NTSR1
CCDS33459.1,ENSG00000260903,XKR7,XK related 7 [Source:HGNC Symbol;Acc:HGNC:23062],CCDS,CCDS33459.1,MMP25
CCDS12047.1,ENSG00000175221,MED16,mediator complex subunit 16 [Source:HGNC Symbol;Acc:HGNC:17556],CCDS,CCDS12047.1,FEM1A
CCDS47938.1,ENSG00000179832,MROH1,maestro heat like repeat family member 1 [Source:HGNC Symbol;Acc:HGNC:26958],CCDS,CCDS47938.1,ABCB8
CCDS169.1,ENSG00000142627,EPHA2,EPH receptor A2 [Source:HGNC Symbol;Acc:HGNC:3386],CCDS,CCDS169.1,KCNG4
CCDS33065.1,ENSG00000118160,SLC8A2,solute carrier family 8 member A2 [Source:HGNC Symbol;Acc:HGNC:11069],CCDS,CCDS33065.1,KCNG2
CCDS11730.1,ENSG00000092929,UNC13D,unc-13 homolog D [Source:HGNC Symbol;Acc:HGNC:23147],CCDS,CCDS11730.1,MBOAT7
CCDS31042.1,ENSG00000196187,TMEM63A,transmembrane protein 63A [Source:HGNC Symbol;Acc:HGNC:29118],CCDS,CCDS31042.1,CHRND
CCDS56027.1,ENSG00000275832,ARHGAP23,Rho GTPase activating protein 23 [Source:HGNC Symbol;Acc:HGNC:29293],CCDS,CCDS56027.1,SEMA6C
CCDS73345.1,ENSG00000186642,PDE2A,phosphodiesterase 2A [Source:HGNC Symbol;Acc:HGNC:8777],CCDS,CCDS73345.1,COL18A1
CCDS42518.1,ENSG00000085872,CHERP,calcium homeostasis endoplasmic reticulum protein [Source:HGNC Symbol;Acc:HGNC:16930],CCDS,CCDS42518.1,RHOT2
CCDS45739.1,ENSG00000108846,ABCC3,ATP binding cassette subfamily C member 3 [Source:HGNC Symbol;Acc:HGNC:54],CCDS,CCDS45739.1,CACNG1
CCDS30967.1,ENSG00000081277,PKP1,plakophilin 1 [Source:HGNC Symbol;Acc:HGNC:9023],CCDS,CCDS30967.1,SLC11A1
CCDS53460.1,ENSG00000163531,NFASC,neurofascin [Source:HGNC Symbol;Acc:HGNC:29866],CCDS,CCDS53460.1,ACKR3
CCDS75098.1,ENSG00000109758,HGFAC,HGF activator [Source:HGNC Symbol;Acc:HGNC:4894],CCDS,CCDS75098.1,SLC35C1
CCDS86161.1,ENSG00000241598,KRTAP5-4,keratin associated protein 5-4 [Source:HGNC Symbol;Acc:HGNC:23599],CCDS,CCDS86161.1,GRIN2B
CCDS32510.1,ENSG00000167513,CDT1,chromatin licensing and DNA replication factor 1 [Source:HGNC Symbol;Acc:HGNC:24576],CCDS,CCDS32510.1,PTCH2
CCDS9766.1,ENSG00000126803,HSPA2,heat shock protein family A (Hsp70) member 2 [Source:HGNC Symbol;Acc:HGNC:5235],CCDS,CCDS9766.1,LGR6
CCDS34948.1,ENSG00000022567,SLC45A4,solute carrier family 45 member 4 [Source:HGNC Symbol;Acc:HGNC:29196],CCDS,CCDS34948.1,ECE1
CCDS53678.1,ENSG00000186642,PDE2A,phosphodiesterase 2A [Source:HGNC Symbol;Acc:HGNC:8777],CCDS,CCDS53678.1,LTBP4
CCDS58638.1,ENSG00000065000,AP3D1,adaptor related protein complex 3 subunit delta 1 [Source:HGNC Symbol;Acc:HGNC:568],CCDS,CCDS58638.1,DISP2
CCDS54632.1,ENSG00000036828,CASR,calcium sensing receptor [Source:HGNC Symbol;Acc:HGNC:1514],CCDS,CCDS54632.1,EHD2
CCDS32490.1,ENSG00000168925,CTRB1,chymotrypsinogen B1 [Source:HGNC Symbol;Acc:HGNC:2521],CCDS,CCDS32490.1,PHLDA2
CCDS3063.1,ENSG00000163914,RHO,rhodopsin [Source:HGNC Symbol;Acc:HGNC:10012],CCDS,CCDS3063.1,MAP3K10
CCDS45975.1,ENSG00000130158,DOCK6,dedicator of cytokinesis 6 [Source:HGNC Symbol;Acc:HGNC:19189],CCDS,CCDS45975.1,DYSF
CCDS59010.1,ENSG00000124493,GRM4,glutamate metabotropic receptor 4 [Source:HGNC Symbol;Acc:HGNC:4596],CCDS,CCDS59010.1,MC1R
CCDS47745.1,ENSG00000214022,REPIN1,replication initiator 1 [Source:HGNC Symbol;Acc:HGNC:17922],CCDS,CCDS47745.1,CAMSAP3
CCDS11604.1,ENSG00000005381,MPO,myeloperoxidase [Source:HGNC Symbol;Acc:HGNC:7218],CCDS,CCDS11604.1,UMODL1
CCDS46152.1,ENSG00000086967,MYBPC2,myosin binding protein C2 [Source:HGNC Symbol;Acc:HGNC:7550],CCDS,CCDS46152.1,ACTL9
CCDS10117.1,ENSG00000140279,DUOX2,dual oxidase 2 [Source:HGNC Symbol;Acc:HGNC:13273],CCDS,CCDS10117.1,GRIN1
CCDS86454.1,ENSG00000140279,DUOX2,dual oxidase 2 [Source:HGNC Symbol;Acc:HGNC:13273],CCDS,CCDS86454.1,NYAP1
CCDS46559.1,ENSG00000182083,OR6B2,olfactory receptor family 6 subfamily B member 2 [Source:HGNC Symbol;Acc:HGNC:15041],CCDS,CCDS46559.1,SLC34A3
CCDS53606.1,ENSG00000187486,KCNJ11,potassium inwardly rectifying channel subfamily J member 11 [Source:HGNC Symbol;Acc:HGNC:6257],CCDS,CCDS53606.1,ADGRG1
CCDS13879.1,ENSG00000128242,GAL3ST1,galactose-3-O-sulfotransferase 1 [Source:HGNC Symbol;Acc:HGNC:24240],CCDS,CCDS13879.1,NOS2
CCDS31828.1,ENSG00000175398,OR10P1,olfactory receptor family 10 subfamily P member 1 [Source:HGNC Symbol;Acc:HGNC:15378],CCDS,CCDS31828.1,PRR12
CCDS12160.1,ENSG00000130382,MLLT1,MLLT1 super elongation complex subunit [Source:HGNC Symbol;Acc:HGNC:7134],CCDS,CCDS12160.1,OR2A1
CCDS56085.1,ENSG00000130164,LDLR,low density lipoprotein receptor [Source:HGNC Symbol;Acc:HGNC:6547],CCDS,CCDS56085.1,OR2A42
CCDS182.1,ENSG00000074964,ARHGEF10L,Rho guanine nucleotide exchange factor 10 like [Source:HGNC Symbol;Acc:HGNC:25540],CCDS,CCDS182.1,DNAAF5
CCDS13307.1,ENSG00000101438,SLC32A1,solute carrier family 32 member 1 [Source:HGNC Symbol;Acc:HGNC:11018],CCDS,CCDS13307.1,SLC44A4
CCDS30976.1,ENSG00000122176,FMOD,fibromodulin [Source:HGNC Symbol;Acc:HGNC:3774],CCDS,CCDS30976.1,COL20A1
CCDS10939.1,ENSG00000140961,OSGIN1,oxidative stress induced growth inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:30093],CCDS,CCDS10939.1,SH3RF2
CCDS32862.1,ENSG00000182087,TMEM259,transmembrane protein 259 [Source:HGNC Symbol;Acc:HGNC:17039],CCDS,CCDS32862.1,TCF7L1
CCDS11000.1,ENSG00000159842,ABR,ABR activator of RhoGEF and GTPase [Source:HGNC Symbol;Acc:HGNC:81],CCDS,CCDS11000.1,TMEM37
CCDS12555.1,ENSG00000160396,HIPK4,homeodomain interacting protein kinase 4 [Source:HGNC Symbol;Acc:HGNC:19007],CCDS,CCDS12555.1,RREB1
CCDS34856.1,ENSG00000168487,BMP1,bone morphogenetic protein 1 [Source:HGNC Symbol;Acc:HGNC:1067],CCDS,CCDS34856.1,MAPK8IP2
CCDS45902.1,ENSG00000129968,ABHD17A,"abhydrolase domain containing 17A, depalmitoylase [Source:HGNC Symbol;Acc:HGNC:28756]",CCDS,CCDS45902.1,F10
CCDS9241.1,ENSG00000150967,ABCB9,ATP binding cassette subfamily B member 9 [Source:HGNC Symbol;Acc:HGNC:50],CCDS,CCDS9241.1,UBC
CCDS32726.1,ENSG00000167861,HID1,HID1 domain containing [Source:HGNC Symbol;Acc:HGNC:15736],CCDS,CCDS32726.1,TCHH
CCDS1889.1,ENSG00000169618,PROKR1,prokineticin receptor 1 [Source:HGNC Symbol;Acc:HGNC:4524],CCDS,CCDS1889.1,GDAP1L1
CCDS1889.1,ENSG00000169621,APLF,aprataxin and PNKP like factor [Source:HGNC Symbol;Acc:HGNC:28724],CCDS,CCDS8434.1,PRDM11
CCDS8434.1,ENSG00000109927,TECTA,tectorin alpha [Source:HGNC Symbol;Acc:HGNC:11720],CCDS,CCDS30799.1,DUS3L
CCDS30799.1,ENSG00000197106,SLC6A17,solute carrier family 6 member 17 [Source:HGNC Symbol;Acc:HGNC:31399],CCDS,CCDS12669.1,MYH11
CCDS12669.1,ENSG00000177464,GPR4,G protein-coupled receptor 4 [Source:HGNC Symbol;Acc:HGNC:4497],CCDS,CCDS12793.1,IQCN
CCDS12793.1,ENSG00000131398,KCNC3,potassium voltage-gated channel subfamily C member 3 [Source:HGNC Symbol;Acc:HGNC:6235],CCDS,CCDS6625.1,BEGAIN
CCDS6625.1,ENSG00000165059,PRKACG,protein kinase cAMP-activated catalytic subunit gamma [Source:HGNC Symbol;Acc:HGNC:9382],CCDS,CCDS5342.1,AKT2
CCDS5342.1,ENSG00000075618,FSCN1,fascin actin-bundling protein 1 [Source:HGNC Symbol;Acc:HGNC:11148],CCDS,CCDS33585.1,CSNK1E
CCDS33585.1,ENSG00000221859,KRTAP10-10,keratin associated protein 10-10 [Source:HGNC Symbol;Acc:HGNC:22972],CCDS,CCDS30982.1,TPTEP2-CSNK1E
CCDS30982.1,ENSG00000163531,NFASC,neurofascin [Source:HGNC Symbol;Acc:HGNC:29866],CCDS,CCDS42519.1,SEMA3F
CCDS42519.1,None,None,None,,CCDS45675.1,ZFP36L1
CCDS45675.1,ENSG00000212721,KRTAP4-11,keratin associated protein 4-11 [Source:HGNC Symbol;Acc:HGNC:18911],CCDS,CCDS10339.1,OSBPL7
CCDS10339.1,ENSG00000183655,KLHL25,kelch like family member 25 [Source:HGNC Symbol;Acc:HGNC:25732],CCDS,CCDS41283.1,ARHGAP45
CCDS41283.1,ENSG00000162430,SELENON,selenoprotein N [Source:HGNC Symbol;Acc:HGNC:15999],CCDS,CCDS53290.1,TACR2
CCDS53290.1,ENSG00000060656,PTPRU,protein tyrosine phosphatase receptor type U [Source:HGNC Symbol;Acc:HGNC:9683],CCDS,CCDS10412.1,DHX34
CCDS10412.1,ENSG00000007541,PIGQ,phosphatidylinositol glycan anchor biosynthesis class Q [Source:HGNC Symbol;Acc:HGNC:14135],CCDS,CCDS45141.1,HSPA1A
CCDS45141.1,ENSG00000165548,TMEM63C,transmembrane protein 63C [Source:HGNC Symbol;Acc:HGNC:23787],CCDS,CCDS56492.1,PLPP7
CCDS56492.1,ENSG00000006704,GTF2IRD1,GTF2I repeat domain containing 1 [Source:HGNC Symbol;Acc:HGNC:4661],CCDS,CCDS10407.1,ACE
CCDS10407.1,ENSG00000129925,PGAP6,post-glycosylphosphatidylinositol attachment to proteins 6 [Source:HGNC Symbol;Acc:HGNC:17205],CCDS,CCDS58287.1,KRTAP2-4
CCDS58287.1,ENSG00000150967,ABCB9,ATP binding cassette subfamily B member 9 [Source:HGNC Symbol;Acc:HGNC:50],CCDS,CCDS9274.1,KRTAP2-1
CCDS9274.1,ENSG00000177169,ULK1,unc-51 like autophagy activating kinase 1 [Source:HGNC Symbol;Acc:HGNC:12558],CCDS,CCDS44647.1,BAIAP2L2
CCDS44647.1,ENSG00000168056,LTBP3,latent transforming growth factor beta binding protein 3 [Source:HGNC Symbol;Acc:HGNC:6716],CCDS,CCDS73817.1,CBX6
CCDS73817.1,ENSG00000167984,NLRC3,NLR family CARD domain containing 3 [Source:HGNC Symbol;Acc:HGNC:29889],CCDS,CCDS41837.1,SLC5A5
CCDS41837.1,ENSG00000111249,CUX2,cut like homeobox 2 [Source:HGNC Symbol;Acc:HGNC:19347],CCDS,CCDS8078.1,PYGM
CCDS8078.1,ENSG00000110076,NRXN2,neurexin 2 [Source:HGNC Symbol;Acc:HGNC:8009],CCDS,CCDS11766.1,TMEM229B
CCDS11766.1,ENSG00000167291,TBC1D16,TBC1 domain family member 16 [Source:HGNC Symbol;Acc:HGNC:28356],CCDS,CCDS55568.1,GAPDH
CCDS55568.1,ENSG00000078900,TP73,tumor protein p73 [Source:HGNC Symbol;Acc:HGNC:12003],CCDS,CCDS33049.1,FBLN1
CCDS33049.1,ENSG00000104884,ERCC2,"ERCC excision repair 2, TFIIH core complex helicase subunit [Source:HGNC Symbol;Acc:HGNC:3434]",CCDS,CCDS334.1,PNPLA6
CCDS334.1,ENSG00000060656,PTPRU,protein tyrosine phosphatase receptor type U [Source:HGNC Symbol;Acc:HGNC:9683],CCDS,CCDS3010.1,ATP4A
CCDS3010.1,ENSG00000036828,CASR,calcium sensing receptor [Source:HGNC Symbol;Acc:HGNC:1514],CCDS,CCDS61250.1,RTN4RL1
CCDS61250.1,ENSG00000171435,KSR2,kinase suppressor of ras 2 [Source:HGNC Symbol;Acc:HGNC:18610],CCDS,CCDS7551.1,FNDC10
CCDS7551.1,ENSG00000107954,NEURL1,neuralized E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:7761],CCDS,CCDS2603.1,NDST1
CCDS2603.1,ENSG00000157103,SLC6A1,solute carrier family 6 member 1 [Source:HGNC Symbol;Acc:HGNC:11042],CCDS,CCDS31577.1,INSRR
CCDS31577.1,ENSG00000011347,SYT7,synaptotagmin 7 [Source:HGNC Symbol;Acc:HGNC:11514],CCDS,CCDS8216.1,HIPK2
CCDS8216.1,ENSG00000186642,PDE2A,phosphodiesterase 2A [Source:HGNC Symbol;Acc:HGNC:8777],CCDS,CCDS32861.1,WDR81
CCDS32861.1,ENSG00000116032,GRIN3B,glutamate ionotropic receptor NMDA type subunit 3B [Source:HGNC Symbol;Acc:HGNC:16768],CCDS,CCDS7740.1,RET
CCDS7740.1,ENSG00000110628,SLC22A18,solute carrier family 22 member 18 [Source:HGNC Symbol;Acc:HGNC:10964],CCDS,CCDS32681.1,TTBK1
CCDS32681.1,ENSG00000108846,ABCC3,ATP binding cassette subfamily C member 3 [Source:HGNC Symbol;Acc:HGNC:54],CCDS,CCDS6938.1,CNNM2
CCDS6938.1,ENSG00000050555,LAMC3,laminin subunit gamma 3 [Source:HGNC Symbol;Acc:HGNC:6494],CCDS,CCDS2572.1,LGI4
CCDS2572.1,ENSG00000196220,SRGAP3,SLIT-ROBO Rho GTPase activating protein 3 [Source:HGNC Symbol;Acc:HGNC:19744],CCDS,CCDS31278.1,TRPV3
CCDS31278.1,ENSG00000107957,SH3PXD2A,SH3 and PX domains 2A [Source:HGNC Symbol;Acc:HGNC:23664],CCDS,CCDS30880.1,CHST3
