Gene,adatcodoncount,adatcodonfreq,proteinlennucleotides,ADAT_transformed_ordered_pvalues,ADAT_pvalues_raw,chisquareadatenrichedstatus,expected_adat_codons,observed_adat_codons,protein_length_AA,feature
CCDS6674.1,73,0.21098265895953758,1038,-0.9993932331543639,0.0006067668456360641,enriched,49,73,346,gene
CCDS6675.1,24,0.0718562874251497,1002,0.9674172016143874,0.03258279838561265,nonsignificant,37,24,334,gene
CCDS6676.1,263,0.18188105117565698,4338,-0.9962571603130841,0.003742839686915875,nonsignificant,220,263,1446,gene
CCDS6677.1,62,0.1901840490797546,978,-0.9367091677666548,0.06329083223334514,nonsignificant,49,62,326,gene
CCDS6678.1,63,0.18584070796460178,1017,-0.9071080591162952,0.09289194088370473,nonsignificant,51,63,339,gene
CCDS6679.1,22,0.16176470588235295,408,0.0,1.0,nonsignificant,22,22,136,gene
CCDS6680.1,96,0.2532981530343008,1137,-0.9999366575163338,6.334248366623988e-05,enriched,64,96,379,gene
CCDS6681.1,111,0.1865546218487395,1785,-0.9204693937726112,0.07953060622738889,nonsignificant,94,111,595,gene
CCDS6682.1,6,0.075,240,0.5204998778130466,0.47950012218695337,nonsignificant,8,6,80,gene
CCDS6683.1,97,0.11345029239766082,2565,0.9763885662185379,0.023611433781462098,nonsignificant,122,97,855,gene
CCDS6685.1,165,0.19119351100811124,2589,-0.9997685056744398,0.00023149432556019846,enriched,124,165,863,gene
CCDS6686.1,31,0.19375,480,-0.846958115841184,0.15304188415881603,nonsignificant,24,31,160,gene
CCDS6687.1,40,0.2,600,-0.9766577979871092,0.02334220201289086,nonsignificant,28,40,200,gene
CCDS6688.1,98,0.1540880503144654,1908,-0.9558286550915573,0.04417134490844271,nonsignificant,80,98,636,gene
CCDS6689.1,40,0.11764705882352941,1020,0.9866236633462069,0.013376336653793152,nonsignificant,59,40,340,gene
CCDS6690.1,46,0.09935205183585313,1389,0.9755510546899107,0.024448945310089332,nonsignificant,64,46,463,gene
CCDS6691.1,183,0.19385593220338984,2832,-0.9997211158033469,0.0002788841966531667,enriched,140,183,944,gene
CCDS6692.1,47,0.09915611814345991,1422,0.9967837706898726,0.0032162293101274477,depleted,72,47,474,gene
CCDS6693.1,11,0.0763888888888889,432,0.9809835263276995,0.019016473672300558,nonsignificant,22,11,144,gene
CCDS6694.1,129,0.1021377672209026,3789,0.9996040345635667,0.00039596543643324026,depleted,176,129,1263,gene
CCDS6695.1,27,0.0903010033444816,897,0.9896182042102982,0.010381795789701767,nonsignificant,44,27,299,gene
CCDS6696.1,22,0.052132701421800945,1266,0.9998852798789535,0.0001147201210465605,depleted,49,22,422,gene
CCDS6698.1,62,0.08857142857142856,2100,0.9990350379034824,0.000964962096517677,depleted,94,62,700,gene
CCDS6699.1,63,0.12804878048780488,1476,-0.10105970196787373,0.8989402980321263,nonsignificant,62,63,492,gene
CCDS6700.1,166,0.2012121212121212,2475,-0.9999988854072871,1.1145927129140999e-06,enriched,114,166,825,gene
CCDS6701.1,67,0.26171875,768,-0.9998854865519784,0.00011451344802160634,enriched,42,67,256,gene
CCDS6703.1,42,0.27450980392156865,459,-0.9993261414686463,0.0006738585313537617,enriched,25,42,153,gene
CCDS6705.1,57,0.22178988326848248,771,-0.949983604514354,0.050016395485646,nonsignificant,44,57,257,gene
CCDS6706.1,165,0.14745308310991956,3357,0.1229931366650796,0.8770068633349204,nonsignificant,167,165,1119,gene
CCDS6707.1,75,0.09933774834437085,2265,0.9980222728588671,0.001977727141132864,depleted,107,75,755,gene
CCDS6708.1,92,0.11400247831474597,2421,0.979180995093516,0.02081900490648406,nonsignificant,117,92,807,gene
CCDS6711.1,75,0.22058823529411764,1020,-0.9992224695530596,0.0007775304469403848,enriched,51,75,340,gene
CCDS6712.1,66,0.19469026548672566,1017,-0.9848415611225605,0.015158438877439466,nonsignificant,49,66,339,gene
CCDS6713.1,80,0.11095700416088766,2163,0.9544997361036415,0.04550026389635857,nonsignificant,100,80,721,gene
CCDS6714.1,282,0.19475138121546962,4344,-0.999922152631446,7.784736855402458e-05,enriched,223,282,1448,gene
CCDS6716.1,49,0.15755627009646303,933,0.0,1.0,nonsignificant,49,49,311,gene
CCDS6717.1,50,0.14792899408284024,1014,0.4998157429292057,0.5001842570707943,nonsignificant,55,50,338,gene
CCDS6718.1,68,0.19373219373219372,1053,-0.9432405536139862,0.056759446386013775,nonsignificant,54,68,351,gene
CCDS6719.1,54,0.13043478260869565,1242,0.0,1.0,nonsignificant,54,54,414,gene
CCDS6721.1,57,0.12391304347826088,1380,0.6184260942949787,0.38157390570502125,nonsignificant,64,57,460,gene
CCDS6722.1,60,0.12024048096192384,1497,0.842700792949719,0.15729920705028105,nonsignificant,72,60,499,gene
CCDS6723.1,27,0.08059701492537313,1005,0.8998217057737321,0.10017829422626791,nonsignificant,37,27,335,gene
CCDS6725.1,92,0.08371246587807098,3297,0.9999995813626456,4.186373544359092e-07,depleted,155,92,1099,gene
CCDS6726.1,47,0.13055555555555556,1080,0.32862675945912734,0.6713732405408727,nonsignificant,50,47,360,gene
CCDS6728.1,67,0.08470290771175727,2373,0.999920275529991,7.97244700090022e-05,depleted,108,67,791,gene
CCDS6729.1,12,0.043795620437956206,822,0.9998386835796914,0.0001613164203086201,depleted,34,12,274,gene
CCDS6730.1,35,0.07918552036199095,1326,0.9998642774909188,0.00013572250908123798,depleted,66,35,442,gene
CCDS6731.1,18,0.03711340206185567,1455,0.9999999856757643,1.432423567649134e-08,depleted,63,18,485,gene
CCDS6732.1,20,0.07936507936507936,756,0.33018464240058343,0.6698153575994166,nonsignificant,22,20,252,gene
CCDS6733.1,53,0.14722222222222223,1080,-0.6185294388488102,0.3814705611511898,nonsignificant,47,53,360,gene
CCDS6734.1,98,0.22121896162528218,1329,-0.9999574440868924,4.2555913107646706e-05,enriched,65,98,443,gene
CCDS6735.1,108,0.20532319391634982,1578,-0.9997580672091393,0.00024193279086066012,enriched,76,108,526,gene
CCDS6736.1,214,0.22717622080679406,2826,-0.9999999945669126,5.433087474176234e-09,enriched,144,214,942,gene
CCDS6737.1,84,0.14432989690721648,1746,-0.5749693472150723,0.4250306527849277,nonsignificant,77,84,582,gene
CCDS6738.1,43,0.08531746031746032,1512,0.9999647703265621,3.522967343790284e-05,depleted,80,43,504,gene
CCDS6739.1,61,0.14628297362110312,1251,-0.2054276513767208,0.7945723486232792,nonsignificant,59,61,417,gene
CCDS6741.1,15,0.15463917525773196,291,0.3723741949716407,0.6276258050283593,nonsignificant,17,15,97,gene
CCDS6742.1,118,0.18495297805642633,1914,-0.9092707164158096,0.09072928358419044,nonsignificant,101,118,638,gene
CCDS6743.1,117,0.18660287081339713,1881,-0.9108690744829137,0.08913092551708636,nonsignificant,100,117,627,gene
CCDS6744.1,84,0.1891891891891892,1332,-0.842700792949719,0.15729920705028105,nonsignificant,72,84,444,gene
CCDS6745.1,25,0.08250825082508251,909,0.9971308872079234,0.0028691127920766127,depleted,45,25,303,gene
CCDS6746.1,118,0.11069418386491557,3198,0.9941801830459901,0.0058198169540098505,nonsignificant,152,118,1066,gene
CCDS6748.1,82,0.08817204301075268,2790,0.9999990508327601,9.491672398804044e-07,depleted,140,82,930,gene
CCDS6749.1,37,0.13405797101449277,828,-0.2646833093626595,0.7353166906373405,nonsignificant,35,37,276,gene
CCDS6750.1,30,0.07874015748031496,1143,0.9906252315405651,0.0093747684594349,nonsignificant,48,30,381,gene
CCDS6751.1,43,0.13190184049079753,978,0.8655834258296405,0.13441657417035946,nonsignificant,54,43,326,gene
CCDS6752.1,55,0.13126491646778043,1257,0.6259973979739653,0.37400260202603475,nonsignificant,62,55,419,gene
CCDS6753.1,16,0.10062893081761007,477,0.8556002077869328,0.1443997922130672,nonsignificant,23,16,159,gene
CCDS6754.1,42,0.06698564593301436,1881,0.9994218581103969,0.0005781418896031581,depleted,71,42,627,gene
CCDS6755.1,38,0.06495726495726496,1755,0.9991887800483032,0.0008112199516967854,depleted,65,38,585,gene
CCDS6756.1,64,0.17534246575342466,1095,-0.7750841159840416,0.22491588401595844,nonsignificant,55,64,365,gene
CCDS6757.1,80,0.19801980198019803,1212,-0.9986593588827705,0.0013406411172294807,enriched,56,80,404,gene
CCDS6758.1,189,0.1693548387096774,3348,-0.9113216714758801,0.08867832852412,nonsignificant,167,189,1116,gene
CCDS6760.1,18,0.07258064516129033,744,0.9939300276379767,0.006069972362023284,nonsignificant,34,18,248,gene
CCDS6761.1,18,0.07258064516129033,744,0.9939300276379767,0.006069972362023284,nonsignificant,34,18,248,gene
CCDS6762.1,341,0.15075154730327145,6786,-0.71032215571908,0.28967784428091997,nonsignificant,322,341,2262,gene
CCDS6763.1,68,0.1033434650455927,1974,0.9997765259594513,0.00022347404054873154,depleted,106,68,658,gene
CCDS6764.1,7,0.04794520547945205,438,0.9847066289698011,0.015293371030198944,nonsignificant,17,7,146,gene
CCDS6766.1,31,0.0670995670995671,1386,0.999607794377721,0.0003922056222790599,depleted,58,31,462,gene
CCDS6767.1,15,0.13761467889908258,327,0.1974126513658474,0.8025873486341526,nonsignificant,16,15,109,gene
CCDS6768.1,26,0.08904109589041095,876,0.9933443945170506,0.006655605482949389,nonsignificant,44,26,292,gene
CCDS6769.1,34,0.08292682926829269,1230,0.9999887217266004,1.1278273399683714e-05,depleted,71,34,410,gene
CCDS6771.1,95,0.2283653846153846,1248,-0.999986586835843,1.3413164157049882e-05,enriched,61,95,416,gene
CCDS6772.1,84,0.1926605504587156,1308,-0.9967688689327443,0.0032311310672556745,enriched,61,84,436,gene
CCDS6773.1,133,0.09977494373593399,3999,0.9997188994590083,0.00028110054099173915,depleted,182,133,1333,gene
CCDS6774.1,19,0.1043956043956044,546,0.8763422895971663,0.12365771040283367,nonsignificant,27,19,182,gene
CCDS6775.1,56,0.0761904761904762,2205,0.9999991792013837,8.20798616285745e-07,depleted,107,56,735,gene
CCDS6776.1,113,0.12363238512035012,2742,0.6327676119593726,0.3672323880406274,nonsignificant,123,113,914,gene
CCDS6777.1,72,0.19726027397260273,1095,-0.8786647496415179,0.12133525035848208,nonsignificant,60,72,365,gene
CCDS6778.1,57,0.17981072555205047,951,-0.31690860169039137,0.6830913983096086,nonsignificant,54,57,317,gene
CCDS6779.1,36,0.10909090909090909,990,0.8596313392283308,0.14036866077166915,nonsignificant,46,36,330,gene
CCDS6782.1,37,0.09367088607594937,1185,0.9941743221716316,0.005825677828368395,nonsignificant,58,37,395,gene
CCDS6783.1,92,0.12299465240641712,2244,0.9286746124929501,0.07132538750704982,nonsignificant,111,92,748,gene
CCDS6784.1,60,0.10849909584086799,1659,0.9962048359330061,0.00379516406699387,nonsignificant,87,60,553,gene
CCDS6785.1,6,0.05714285714285714,315,0.9798632484496537,0.02013675155034633,nonsignificant,15,6,105,gene
CCDS6786.1,118,0.24789915966386555,1428,-0.9999885519537862,1.1448046213754177e-05,enriched,79,118,476,gene
CCDS6787.1,47,0.07448494453248812,1893,0.985449950752578,0.014550049247421962,nonsignificant,67,47,631,gene
CCDS6788.1,24,0.16666666666666666,432,-0.16517267081476084,0.8348273291852392,nonsignificant,23,24,144,gene
CCDS6789.1,29,0.1518324607329843,573,-0.4437015387252652,0.5562984612747348,nonsignificant,26,29,191,gene
CCDS6790.1,8,0.09302325581395349,258,0.4729107431344619,0.5270892568655381,nonsignificant,10,8,86,gene
CCDS6791.1,72,0.13766730401529637,1569,0.09317255320958573,0.9068274467904143,nonsignificant,73,72,523,gene
CCDS6792.1,45,0.1226158038147139,1101,0.5991858306170658,0.40081416938293424,nonsignificant,51,45,367,gene
CCDS6793.1,44,0.1746031746031746,756,-0.6696099511512085,0.33039004884879153,nonsignificant,38,44,252,gene
CCDS6795.1,26,0.17567567567567569,444,-0.94065356120808,0.05934643879191998,nonsignificant,18,26,148,gene
CCDS6796.1,49,0.10606060606060606,1386,0.901261762225375,0.09873823777462498,nonsignificant,62,49,462,gene
CCDS6797.1,177,0.19281045751633988,2754,-0.9999966970494074,3.302950592553676e-06,enriched,125,177,918,gene
CCDS6798.1,97,0.18653846153846154,1560,-0.9987495578865895,0.0012504421134104749,enriched,70,97,520,gene
CCDS6800.1,67,0.18980169971671387,1059,-0.9964692380821688,0.0035307619178311742,enriched,47,67,353,gene
CCDS6802.1,316,0.16980118216012896,5583,-0.9966328553992461,0.003367144600753895,enriched,268,316,1861,gene
CCDS6803.1,40,0.19801980198019803,606,-0.9876454149821281,0.01235458501787193,nonsignificant,27,40,202,gene
CCDS6804.1,36,0.1782178217821782,606,-0.9721931049730027,0.027806895026997264,nonsignificant,25,36,202,gene
CCDS6805.1,287,0.19930555555555557,4320,-0.9990992360063855,0.0009007639936144734,enriched,236,287,1440,gene
CCDS6806.1,201,0.22136563876651982,2724,-0.9999966894400838,3.3105599162127454e-06,enriched,145,201,908,gene
CCDS6807.1,18,0.15126050420168066,357,-0.5614219739190003,0.4385780260809997,nonsignificant,15,18,119,gene
CCDS6808.1,54,0.15743440233236153,1029,0.0,1.0,nonsignificant,54,54,343,gene
CCDS6809.1,42,0.16666666666666666,756,-0.6826894921370888,0.31731050786291115,nonsignificant,36,42,252,gene
CCDS6810.1,39,0.16595744680851063,705,-0.6088274771898605,0.3911725228101395,nonsignificant,34,39,235,gene
CCDS6811.1,390,0.1771117166212534,6606,-0.9999685666045875,3.1433395412479766e-05,enriched,316,390,2202,gene
CCDS6813.1,297,0.18243243243243243,4884,-0.9999996817624379,3.1823756204828815e-07,enriched,221,297,1628,gene
CCDS6814.1,64,0.16161616161616163,1188,-0.7149505925973904,0.28504940740260964,nonsignificant,56,64,396,gene
CCDS6815.1,251,0.1947245927075252,3867,-0.9999971332582778,2.866741722189371e-06,enriched,187,251,1289,gene
CCDS6816.1,258,0.1925373134328358,4020,-0.9999905140696077,9.48593039226873e-06,enriched,196,258,1340,gene
CCDS6817.1,102,0.1559633027522936,1962,-0.5907061826465592,0.40929381735344084,nonsignificant,94,102,654,gene
CCDS6818.1,95,0.1130952380952381,2520,0.8918027524762983,0.1081972475237017,nonsignificant,112,95,840,gene
CCDS6822.1,149,0.19553805774278216,2286,-0.9999994970632189,5.029367811584704e-07,enriched,99,149,762,gene
CCDS6823.1,200,0.10559662090813093,5682,0.9901767254924808,0.009823274507519235,nonsignificant,240,200,1894,gene
CCDS6824.1,49,0.09702970297029703,1515,0.99947155075208,0.0005284492479199531,depleted,80,49,505,gene
CCDS6825.1,79,0.18944844124700239,1251,-0.9964313715630666,0.0035686284369333987,enriched,57,79,417,gene
CCDS6826.1,157,0.0936195587358378,5031,0.9999999860851031,1.391489695231402e-08,depleted,246,157,1677,gene
CCDS6827.1,16,0.07407407407407407,648,0.9929416679514719,0.007058332048528108,nonsignificant,31,16,216,gene
CCDS6828.1,161,0.20561941251596424,2349,-0.999996344486732,3.655513267962821e-06,enriched,112,161,783,gene
CCDS6829.1,149,0.20355191256830601,2196,-0.9999990416334468,9.58366553180639e-07,enriched,100,149,732,gene
CCDS6830.1,47,0.16262975778546712,867,0.42459697708724664,0.5754030229127534,nonsignificant,51,47,289,gene
CCDS6831.1,22,0.1774193548387097,372,0.0,1.0,nonsignificant,22,22,124,gene
CCDS6832.1,220,0.20637898686679174,3198,-0.9999966782572108,3.321742789209537e-06,enriched,161,220,1066,gene
CCDS6835.1,15,0.08670520231213873,519,0.8095697361744796,0.19043026382552042,nonsignificant,21,15,173,gene
CCDS6836.1,21,0.12962962962962962,486,-0.6680245329172658,0.3319754670827342,nonsignificant,17,21,162,gene
CCDS6839.1,22,0.11518324607329843,573,0.6640761868482671,0.3359238131517329,nonsignificant,27,22,191,gene
CCDS6840.1,41,0.155893536121673,789,0.0,1.0,nonsignificant,41,41,263,gene
CCDS6842.1,123,0.205,1800,-0.9999984720584721,1.527941527861602e-06,enriched,80,123,600,gene
CCDS6843.1,117,0.20781527531083482,1689,-0.9999987637799961,1.236220003948495e-06,enriched,75,117,563,gene
CCDS6844.1,73,0.23397435897435898,936,-0.9979342725689937,0.0020657274310062934,enriched,51,73,312,gene
CCDS6845.1,33,0.10927152317880795,906,0.2646833093626595,0.7353166906373405,nonsignificant,35,33,302,gene
CCDS6846.1,24,0.05647058823529412,1275,0.9998967825585049,0.00010321744149513965,depleted,52,24,425,gene
CCDS6847.1,39,0.08823529411764706,1326,0.9285765422701479,0.07142345772985215,nonsignificant,52,39,442,gene
CCDS6849.1,58,0.1657142857142857,1050,-0.21073197386571874,0.7892680261342813,nonsignificant,56,58,350,gene
CCDS6851.1,54,0.08023774145616643,2019,0.9999911973610471,8.802638952900304e-06,depleted,98,54,673,gene
CCDS6853.1,82,0.20147420147420148,1221,-0.9928285149241982,0.007171485075801836,nonsignificant,61,82,407,gene
CCDS6854.1,58,0.18471337579617833,942,-0.9955734741420802,0.004426525857919834,nonsignificant,40,58,314,gene
CCDS6855.1,40,0.14388489208633093,834,0.3526852156114797,0.6473147843885203,nonsignificant,43,40,278,gene
CCDS6856.1,81,0.17532467532467533,1386,-0.9841782851764871,0.01582171482351289,nonsignificant,62,81,462,gene
CCDS6858.1,25,0.20161290322580644,372,-0.9755510546899107,0.024448945310089332,nonsignificant,16,25,124,gene
CCDS6859.1,16,0.1038961038961039,462,0.8556002077869328,0.1443997922130672,nonsignificant,23,16,154,gene
CCDS6860.1,83,0.10807291666666667,2304,0.9267174467751134,0.07328255322488668,nonsignificant,101,83,768,gene
CCDS6861.1,23,0.07516339869281045,918,0.9966295685526023,0.0033704314473977145,depleted,42,23,306,gene
CCDS6862.1,43,0.11528150134048257,1119,0.8304358548094406,0.1695641451905594,nonsignificant,53,43,373,gene
CCDS6863.1,88,0.13435114503816795,1965,0.46398663046217814,0.5360133695378219,nonsignificant,94,88,655,gene
CCDS6864.1,59,0.12114989733059549,1461,0.7249076233641122,0.2750923766358878,nonsignificant,68,59,487,gene
CCDS6865.1,58,0.13333333333333333,1305,0.38854701304649586,0.6114529869535041,nonsignificant,62,58,435,gene
CCDS6867.1,50,0.10683760683760683,1404,0.6461630993152708,0.35383690068472917,nonsignificant,57,50,468,gene
CCDS6868.1,94,0.1902834008097166,1482,-0.9999517620147627,4.823798523737606e-05,enriched,62,94,494,gene
CCDS6870.1,145,0.303347280334728,1434,-0.9999999999965287,3.4713617168699043e-12,enriched,82,145,478,gene
CCDS6871.1,65,0.13026052104208416,1497,-0.19894062913029043,0.8010593708697096,nonsignificant,63,65,499,gene
CCDS6872.1,33,0.19879518072289157,498,-0.6552957779930423,0.3447042220069577,nonsignificant,28,33,166,gene
CCDS6873.1,121,0.1671270718232044,2172,-0.9851833894330366,0.0148166105669634,nonsignificant,97,121,724,gene
CCDS6874.1,127,0.21026490066225165,1812,-0.9998392367142287,0.0001607632857713454,enriched,91,127,604,gene
CCDS6875.1,171,0.1956521739130435,2622,-0.9999945183173473,5.48168265269007e-06,enriched,121,171,874,gene
CCDS6876.1,66,0.25984251968503935,762,-0.9999944329757631,5.567024236927992e-06,enriched,38,66,254,gene
CCDS6877.1,201,0.23344947735191637,2583,-0.9999999865600706,1.3439929353717252e-08,enriched,135,201,861,gene
CCDS6878.1,165,0.234375,2112,-0.9999998429054944,1.5709450561558146e-07,enriched,110,165,704,gene
CCDS6879.1,78,0.20911528150134048,1119,-0.9999249868053346,7.501319466545911e-05,enriched,50,78,373,gene
CCDS6880.1,156,0.24920127795527156,1878,-0.9999999104755415,8.95244585462941e-08,enriched,102,156,626,gene
CCDS6881.1,39,0.2,585,-0.9892125507453297,0.010787449254670376,nonsignificant,26,39,195,gene
CCDS6882.1,88,0.2634730538922156,1002,-0.9999999229960725,7.700392745696422e-08,enriched,50,88,334,gene
CCDS6883.1,71,0.23432343234323433,909,-0.9999804491945538,1.955080544629483e-05,enriched,43,71,303,gene
CCDS6885.1,51,0.265625,576,-0.9999861730575935,1.382694240651702e-05,enriched,28,51,192,gene
CCDS6886.1,25,0.29411764705882354,255,-0.9755510546899107,0.024448945310089332,nonsignificant,16,25,85,gene
CCDS6888.1,55,0.22633744855967078,729,-0.9941801830459901,0.0058198169540098505,nonsignificant,38,55,243,gene
CCDS6889.1,86,0.2621951219512195,984,-0.9999390025711035,6.099742889649526e-05,enriched,56,86,328,gene
CCDS6890.1,106,0.225531914893617,1410,-0.9999959378495713,4.062150428658685e-06,enriched,68,106,470,gene
CCDS6891.1,77,0.2037037037037037,1134,-0.9873979750600638,0.01260202493993626,nonsignificant,58,77,378,gene
CCDS6892.1,36,0.18090452261306533,597,-0.9501397962430932,0.049860203756906855,nonsignificant,26,36,199,gene
CCDS6893.1,17,0.20238095238095238,252,-0.9731433044924755,0.02685669550752441,nonsignificant,10,17,84,gene
CCDS6894.1,158,0.1757508342602892,2697,-0.9919900576701199,0.008009942329880018,nonsignificant,128,158,899,gene
CCDS6895.1,192,0.22196531791907514,2595,-0.9999999958910677,4.108932323233149e-09,enriched,126,192,865,gene
CCDS6897.1,59,0.17771084337349397,996,-0.8876488023095359,0.1123511976904641,nonsignificant,48,59,332,gene
CCDS6898.1,62,0.23308270676691728,798,-0.9979717688515479,0.0020282311484520824,enriched,42,62,266,gene
CCDS6899.1,140,0.21739130434782608,1932,-0.9999994394798079,5.605201921709766e-07,enriched,92,140,644,gene
CCDS6900.1,14,0.13725490196078433,306,0.0,1.0,nonsignificant,14,14,102,gene
CCDS6902.1,79,0.12363067292644757,1917,0.08902070748936597,0.910979292510634,nonsignificant,80,79,639,gene
CCDS6904.1,96,0.14545454545454545,1980,-0.7671766483083496,0.23282335169165033,nonsignificant,85,96,660,gene
CCDS6905.1,361,0.1459765467044076,7419,-0.9969053527054943,0.0030946472945057196,enriched,309,361,2473,gene
CCDS6907.1,24,0.08633093525179857,834,0.5503082020311092,0.4496917979688908,nonsignificant,28,24,278,gene
CCDS6908.1,176,0.19775280898876405,2670,-0.9997146482327184,0.00028535176728158846,enriched,134,176,890,gene
CCDS6909.1,68,0.2537313432835821,804,-0.999996578028891,3.4219711089768296e-06,enriched,39,68,268,gene
CCDS6910.1,157,0.2046936114732725,2301,-0.9999996118521235,3.8814787648043784e-07,enriched,105,157,767,gene
CCDS6911.1,85,0.2119700748129676,1203,-0.9999754138632854,2.4586136714663792e-05,enriched,54,85,401,gene
CCDS6912.1,65,0.2181208053691275,894,-0.9913495941049024,0.008650405895097536,nonsignificant,47,65,298,gene
CCDS6913.1,67,0.17771883289124668,1131,-0.9837904585907746,0.016209541409225422,nonsignificant,50,67,377,gene
CCDS6914.1,56,0.18791946308724833,894,-0.8596313392283308,0.14036866077166915,nonsignificant,46,56,298,gene
CCDS6915.1,124,0.2300556586270872,1617,-0.9986935095627311,0.001306490437268988,enriched,93,124,539,gene
CCDS6916.1,83,0.20959595959595959,1188,-0.9882566176988274,0.011743382301172606,nonsignificant,63,83,396,gene
CCDS6917.1,105,0.17676767676767677,1782,-0.9300456414199897,0.06995435858001035,nonsignificant,88,105,594,gene
CCDS6918.1,63,0.26359832635983266,717,-0.9999808324654433,1.916753455669746e-05,enriched,37,63,239,gene
CCDS6919.1,154,0.24561403508771928,1881,-0.9999999999600315,3.996845787411099e-11,enriched,91,154,627,gene
CCDS6920.1,49,0.15123456790123457,972,-0.34174658568871674,0.6582534143112833,nonsignificant,46,49,324,gene
CCDS6924.1,93,0.22037914691943128,1266,-0.9999174947461074,8.250525389262228e-05,enriched,62,93,422,gene
CCDS6925.1,32,0.16161616161616163,594,-0.28499934531191085,0.7150006546880892,nonsignificant,30,32,198,gene
CCDS6926.1,65,0.2559055118110236,762,-0.9984537965229192,0.0015462034770807424,enriched,44,65,254,gene
CCDS6927.1,45,0.29411764705882354,459,-0.9999366575163338,6.334248366623988e-05,enriched,25,45,153,gene
CCDS6929.1,47,0.1394658753709199,1011,0.22490303780401533,0.7750969621959847,nonsignificant,49,47,337,gene
CCDS6930.1,51,0.15315315315315314,999,-0.6289066304773024,0.37109336952269756,nonsignificant,45,51,333,gene
CCDS6931.1,31,0.10689655172413794,870,0.5010377013962389,0.49896229860376107,nonsignificant,35,31,290,gene
CCDS6932.1,32,0.16753926701570682,573,-0.9394311397973424,0.060568860202657664,nonsignificant,23,32,191,gene
CCDS6933.1,95,0.23002421307506055,1239,-0.9999995176983625,4.82301637510344e-07,enriched,57,95,413,gene
CCDS6934.1,93,0.25271739130434784,1104,-0.9999956875315467,4.312468453366182e-06,enriched,58,93,368,gene
CCDS6935.1,34,0.11564625850340136,882,0.8300881582685118,0.16991184173148816,nonsignificant,43,34,294,gene
CCDS6936.1,24,0.17518248175182483,411,-0.7486508911897807,0.2513491088102194,nonsignificant,19,24,137,gene
CCDS6937.1,98,0.21212121212121213,1386,-0.9999574440868924,4.2555913107646706e-05,enriched,65,98,462,gene
CCDS6938.1,319,0.20241116751269037,4728,-0.9999999998712455,1.2875446054388618e-10,enriched,223,319,1576,gene
CCDS6939.1,20,0.13245033112582782,453,-0.5331457291772748,0.46685427082272524,nonsignificant,17,20,151,gene
CCDS6940.1,308,0.14729794356767098,6273,0.9985043857230352,0.0014956142769647475,depleted,369,308,2091,gene
CCDS6942.1,84,0.3088235294117647,816,-0.9999999938921137,6.107886359709498e-09,enriched,45,84,272,gene
CCDS6943.1,137,0.18315508021390375,2244,-0.9926797636642554,0.007320236335744674,nonsignificant,109,137,748,gene
CCDS6944.1,41,0.1474820143884892,834,-0.25122595829345284,0.7487740417065472,nonsignificant,39,41,278,gene
CCDS6945.1,46,0.14743589743589744,936,-0.23697539944700496,0.763024600552995,nonsignificant,44,46,312,gene
CCDS6946.1,131,0.24670433145009416,1593,-0.9999999999999998,2.6939656115417256e-16,enriched,65,131,531,gene
CCDS6947.1,197,0.07356235997012696,8034,1.0,2.074264238779236e-18,depleted,364,197,2678,gene
CCDS6948.1,79,0.08719646799116998,2718,0.9995570913245696,0.00044290867543039244,depleted,117,79,906,gene
CCDS6949.1,70,0.21806853582554517,963,-0.999206048299217,0.0007939517007830229,enriched,47,70,321,gene
CCDS6950.1,83,0.2530487804878049,984,-0.9999206650127972,7.93349872027536e-05,enriched,54,83,328,gene
CCDS6953.1,124,0.15066828675577157,2469,-0.48246528035676484,0.5175347196432352,nonsignificant,117,124,823,gene
CCDS6954.1,102,0.2125,1440,-0.9988658123393304,0.0011341876606696907,enriched,74,102,480,gene
CCDS6955.1,37,0.21893491124260356,507,-0.9986162087598353,0.0013837912401647972,enriched,22,37,169,gene
CCDS6956.1,149,0.1278969957081545,3495,0.787088097188499,0.212911902811501,nonsignificant,165,149,1165,gene
CCDS6957.1,73,0.22054380664652568,993,-0.9999876838238635,1.2316176136528204e-05,enriched,44,73,331,gene
CCDS6958.1,108,0.2076923076923077,1560,-0.9999580448112011,4.195518879892324e-05,enriched,73,108,520,gene
CCDS6959.1,205,0.22404371584699453,2745,-0.999999373062061,6.269379390317098e-07,enriched,145,205,915,gene
CCDS6960.1,71,0.20402298850574713,1044,-0.994898600353995,0.005101399646004981,nonsignificant,51,71,348,gene
CCDS6961.1,29,0.1695906432748538,513,-0.9191444016299477,0.08085559837005234,nonsignificant,21,29,171,gene
CCDS6962.1,62,0.1712707182320442,1086,-0.8765147278554513,0.12348527214454878,nonsignificant,51,62,362,gene
CCDS6963.1,44,0.21890547263681592,603,-0.9894128626659431,0.010587137334056926,nonsignificant,30,44,201,gene
CCDS6964.1,33,0.23404255319148937,423,-0.9986810313874206,0.0013189686125793603,enriched,19,33,141,gene
CCDS6965.1,47,0.1760299625468165,801,-0.651263339861195,0.348736660138805,nonsignificant,41,47,267,gene
CCDS6966.1,55,0.18272425249169436,903,-0.6876785783237868,0.31232142167621324,nonsignificant,48,55,301,gene
CCDS6967.1,36,0.14007782101167315,771,-0.5204998778130466,0.47950012218695337,nonsignificant,32,36,257,gene
CCDS6968.1,52,0.1925925925925926,810,-0.9863362871318188,0.013663712868181228,nonsignificant,37,52,270,gene
